# RaceRender Data
Time,Latitude,Longitude,Altitude,MPH,Heading,X,Y,GPS_Update,Accuracy
0.000,32.9856985,-89.7897966,10.0,20.7,0.0,0.015,-0.019,1,3.0
0.100,32.9857010,-89.7897902,10.0,20.7,65.1,-0.013,1.520,1,3.0
0.201,32.9857125,-89.7897931,10.0,40.7,348.3,0.982,-1.533,1,3.0
0.301,32.9857118,-89.7897863,10.0,19.8,96.7,-1.022,1.522,1,3.0
0.401,32.9857204,-89.7897796,10.0,35.9,33.4,0.989,-1.512,1,3.0
0.501,32.9857237,-89.7897788,10.0,11.9,10.7,-1.038,-1.450,1,3.0
0.602,32.9857287,-89.7897754,10.0,20.2,30.1,1.039,1.493,1,3.0
0.702,32.9857284,-89.7897705,10.0,14.3,94.0,-0.990,1.495,1,3.0
0.802,32.9857312,-89.7897588,10.0,35.5,74.5,0.978,-1.464,1,3.0
0.903,32.9857220,-89.7897611,10.0,32.6,192.1,-0.977,1.439,1,3.0
1.003,32.9857252,-89.7897550,10.0,21.1,58.0,-0.987,-1.462,1,3.0
1.103,32.9857137,-89.7897516,10.0,41.3,165.9,1.003,1.554,1,3.0
1.203,32.9857138,-89.7897470,10.0,13.6,89.3,-1.012,-1.482,1,3.0
1.304,32.9857119,-89.7897391,10.0,23.9,106.3,1.013,1.553,1,3.0
1.404,32.9857068,-89.7897399,10.0,17.8,187.4,-1.025,1.613,1,3.0
1.504,32.9856940,-89.7897339,10.0,47.9,158.7,0.967,-1.512,1,3.0
1.605,32.9856931,-89.7897304,10.0,10.8,107.7,-1.015,-1.474,1,3.0
1.705,32.9856902,-89.7897242,10.0,20.9,119.2,1.032,1.461,1,3.0
1.805,32.9856800,-89.7897232,10.0,35.5,175.3,1.019,1.493,1,3.0
1.905,32.9856781,-89.7897149,10.0,25.1,105.1,-1.024,-1.497,1,3.0
2.006,32.9856774,-89.7897068,10.0,24.0,95.9,-0.505,-1.472,1,3.0
2.106,32.9856735,-89.7897110,10.0,18.4,222.1,-1.028,1.495,1,3.0
2.206,32.9856747,-89.7897020,10.0,26.7,81.2,0.936,-1.634,1,3.0
2.307,32.9856750,-89.7896981,10.0,11.5,84.3,-1.027,0.291,1,3.0
2.407,32.9856754,-89.7896960,10.0,6.2,77.2,-0.963,-0.342,1,3.0
2.507,32.9856777,-89.7896962,10.0,8.1,355.5,0.889,-1.510,1,3.0
2.607,32.9856820,-89.7896886,10.0,27.0,56.0,0.991,1.493,1,3.0
2.708,32.9856932,-89.7896800,10.0,46.3,32.9,0.981,-1.502,1,3.0
2.808,32.9856979,-89.7896754,10.0,21.3,39.5,-1.011,1.166,1,3.0
2.908,32.9856951,-89.7896772,10.0,11.0,208.4,-1.009,1.528,1,3.0
3.009,32.9857050,-89.7896719,10.0,37.7,24.0,1.008,1.564,1,3.0
3.109,32.9857127,-89.7896637,10.0,36.2,42.0,-0.640,1.521,1,3.0
